,Adaptacion,Tarea,Fuente,Objetivo,Baseline error,Transfer error,Transfer loss
1,mSDA,e->d,electronics,dvd,16.9004225106,23.2155803895,6.31515787895
2,mSDA,e->k,electronics,kitchen,16.2154053851,12.017800445,-4.19760494012
3,mSDA,e->b,electronics,books,23.7105927648,29.1782294557,5.46763669092
4,mSDA,d->e,dvd,electronics,16.3979099477,21.7430435761,5.34513362834
5,mSDA,d->k,dvd,kitchen,16.2154053851,18.7229680742,2.50756268907
6,mSDA,d->b,dvd,books,23.7105927648,22.0430510763,-1.66754168854
7,mSDA,k->e,kitchen,electronics,16.3979099477,14.6128653216,-1.78504462612
8,mSDA,k->d,kitchen,dvd,16.9004225106,24.1406035151,7.24018100453
9,mSDA,k->b,kitchen,books,23.7105927648,28.3607090177,4.65011625291
10,mSDA,b->e,books,electronics,16.3979099477,21.9130478262,5.51513787845
11,mSDA,b->d,books,dvd,16.9004225106,17.3754343859,0.475011875297
12,mSDA,b->k,books,kitchen,16.2154053851,21.1855296382,4.97012425311
