,Adaptacion,Tarea,Fuente,Objetivo,Baseline error,Transfer error,Transfer loss
0,GFK,e->d,electronics,dvd,15.7628940724,25.4781369534,9.71524288107
1,GFK,e->k,electronics,kitchen,8.58771469287,10.8902722568,2.30255756394
2,GFK,e->b,electronics,books,15.157878947,25.2731318283,10.1152528813
3,GFK,d->e,dvd,electronics,11.1277781945,18.6104652616,7.48268706718
4,GFK,d->k,dvd,kitchen,8.58771469287,13.2328308208,4.6451161279
5,GFK,d->b,dvd,books,15.157878947,24.5181129528,9.36023400585
6,GFK,k->e,kitchen,electronics,11.1277781945,14.0453511338,2.91757293932
7,GFK,k->d,kitchen,dvd,15.7628940724,26.8881722043,11.125278132
8,GFK,k->b,kitchen,books,15.157878947,31.6182904573,16.4604115103
9,GFK,b->e,books,electronics,11.1277781945,23.7480937023,12.6203155079
10,GFK,b->d,books,dvd,15.7628940724,18.7654691367,3.00257506438
11,GFK,b->k,books,kitchen,8.58771469287,15.8253956349,7.23768094202
