,Adaptacion,Tarea,Fuente,Objetivo,Baseline error,Transfer error,Transfer loss
0,GFK,e->d,electronics,dvd,16.9004225106,29.4107352684,12.5103127578
1,GFK,e->k,electronics,kitchen,16.2154053851,17.605440136,1.39003475087
2,GFK,e->b,electronics,books,23.7105927648,35.0658766469,11.3552838821
3,GFK,d->e,dvd,electronics,16.3979099477,23.1505787645,6.75266881672
4,GFK,d->k,dvd,kitchen,16.2154053851,18.8279706993,2.61256531413
5,GFK,d->b,dvd,books,23.7105927648,26.5406635166,2.83007075177
6,GFK,k->e,kitchen,electronics,16.3979099477,18.347958699,1.95004875122
7,GFK,k->d,kitchen,dvd,16.9004225106,28.5807145179,11.6802920073
8,GFK,k->b,kitchen,books,23.7105927648,33.625840646,9.9152478812
9,GFK,b->e,books,electronics,16.3979099477,25.7156428911,9.31773294332
10,GFK,b->d,books,dvd,16.9004225106,21.7380434511,4.83762094052
11,GFK,b->k,books,kitchen,16.2154053851,22.8655716393,6.65016625416
